0-th traing, T = 100, ErrorRate = 33% (33/100)
272-th traing, T = 6.49789860982, ErrorRate = 50% (50/100)
273-th traing, T = 6.43291962373, ErrorRate = 50% (50/100)
274-th traing, T = 6.36859042749, ErrorRate = 50% (50/100)
275-th traing, T = 6.30490452321, ErrorRate = 50% (50/100)
276-th traing, T = 6.24185547798, ErrorRate = 50% (50/100)
277-th traing, T = 6.1794369232, ErrorRate = 50% (50/100)
278-th traing, T = 6.11764255397, ErrorRate = 50% (50/100)
279-th traing, T = 6.05646612843, ErrorRate = 50% (50/100)
280-th traing, T = 5.99590146715, ErrorRate = 50% (50/100)
281-th traing, T = 5.93594245248, ErrorRate = 50% (50/100)
282-th traing, T = 5.87658302795, ErrorRate = 50% (50/100)
283-th traing, T = 5.81781719767, ErrorRate = 50% (50/100)
284-th traing, T = 5.75963902569, ErrorRate = 50% (50/100)
285-th traing, T = 5.70204263544, ErrorRate = 50% (50/100)
286-th traing, T = 5.64502220908, ErrorRate = 50% (50/100)
287-th traing, T = 5.58857198699, ErrorRate = 50% (50/100)
288-th traing, T = 5.53268626712, ErrorRate = 50% (50/100)
289-th traing, T = 5.47735940445, ErrorRate = 50% (50/100)
290-th traing, T = 5.42258581041, ErrorRate = 50% (50/100)
291-th traing, T = 5.3683599523, ErrorRate = 50% (50/100)
292-th traing, T = 5.31467635278, ErrorRate = 50% (50/100)
293-th traing, T = 5.26152958925, ErrorRate = 50% (50/100)
294-th traing, T = 5.20891429336, ErrorRate = 50% (50/100)
295-th traing, T = 5.15682515043, ErrorRate = 50% (50/100)
296-th traing, T = 5.10525689892, ErrorRate = 50% (50/100)
297-th traing, T = 5.05420432993, ErrorRate = 50% (50/100)
298-th traing, T = 5.00366228663, ErrorRate = 50% (50/100)
299-th traing, T = 4.95362566377, ErrorRate = 50% (50/100)
300-th traing, T = 4.90408940713, ErrorRate = 50% (50/100)
301-th traing, T = 4.85504851306, ErrorRate = 50% (50/100)
302-th traing, T = 4.80649802793, ErrorRate = 50% (50/100)
303-th traing, T = 4.75843304765, ErrorRate = 50% (50/100)
304-th traing, T = 4.71084871717, ErrorRate = 50% (50/100)
305-th traing, T = 4.66374023, ErrorRate = 50% (50/100)
306-th traing, T = 4.6171028277, ErrorRate = 50% (50/100)
307-th traing, T = 4.57093179942, ErrorRate = 50% (50/100)
308-th traing, T = 4.52522248143, ErrorRate = 50% (50/100)
309-th traing, T = 4.47997025661, ErrorRate = 50% (50/100)
310-th traing, T = 4.43517055405, ErrorRate = 50% (50/100)
311-th traing, T = 4.39081884851, ErrorRate = 50% (50/100)
312-th traing, T = 4.34691066002, ErrorRate = 50% (50/100)
313-th traing, T = 4.30344155342, ErrorRate = 50% (50/100)
314-th traing, T = 4.26040713789, ErrorRate = 50% (50/100)
315-th traing, T = 4.21780306651, ErrorRate = 50% (50/100)
316-th traing, T = 4.17562503584, ErrorRate = 50% (50/100)
317-th traing, T = 4.13386878549, ErrorRate = 50% (50/100)
318-th traing, T = 4.09253009763, ErrorRate = 50% (50/100)
319-th traing, T = 4.05160479665, ErrorRate = 50% (50/100)
320-th traing, T = 4.01108874869, ErrorRate = 50% (50/100)
321-th traing, T = 3.9709778612, ErrorRate = 50% (50/100)
322-th traing, T = 3.93126808259, ErrorRate = 50% (50/100)
323-th traing, T = 3.89195540176, ErrorRate = 50% (50/100)
324-th traing, T = 3.85303584775, ErrorRate = 50% (50/100)
325-th traing, T = 3.81450548927, ErrorRate = 50% (50/100)
326-th traing, T = 3.77636043438, ErrorRate = 50% (50/100)
327-th traing, T = 3.73859683003, ErrorRate = 50% (50/100)
328-th traing, T = 3.70121086173, ErrorRate = 50% (50/100)
329-th traing, T = 3.66419875311, ErrorRate = 50% (50/100)
330-th traing, T = 3.62755676558, ErrorRate = 50% (50/100)
331-th traing, T = 3.59128119793, ErrorRate = 50% (50/100)
332-th traing, T = 3.55536838595, ErrorRate = 50% (50/100)
333-th traing, T = 3.51981470209, ErrorRate = 50% (50/100)
334-th traing, T = 3.48461655507, ErrorRate = 50% (50/100)
335-th traing, T = 3.44977038952, ErrorRate = 50% (50/100)
336-th traing, T = 3.41527268562, ErrorRate = 50% (50/100)
337-th traing, T = 3.38111995877, ErrorRate = 50% (50/100)
338-th traing, T = 3.34730875918, ErrorRate = 50% (50/100)
339-th traing, T = 3.31383567159, ErrorRate = 50% (50/100)
340-th traing, T = 3.28069731487, ErrorRate = 50% (50/100)
341-th traing, T = 3.24789034172, ErrorRate = 50% (50/100)
342-th traing, T = 3.2154114383, ErrorRate = 50% (50/100)
343-th traing, T = 3.18325732392, ErrorRate = 50% (50/100)
344-th traing, T = 3.15142475068, ErrorRate = 50% (50/100)
345-th traing, T = 3.11991050317, ErrorRate = 50% (50/100)
346-th traing, T = 3.08871139814, ErrorRate = 50% (50/100)
347-th traing, T = 3.05782428416, ErrorRate = 50% (50/100)
348-th traing, T = 3.02724604132, ErrorRate = 50% (50/100)
349-th traing, T = 2.99697358091, ErrorRate = 50% (50/100)
350-th traing, T = 2.9670038451, ErrorRate = 50% (50/100)
351-th traing, T = 2.93733380665, ErrorRate = 50% (50/100)
352-th traing, T = 2.90796046858, ErrorRate = 50% (50/100)
353-th traing, T = 2.87888086389, ErrorRate = 50% (50/100)
354-th traing, T = 2.85009205526, ErrorRate = 50% (50/100)
355-th traing, T = 2.8215911347, ErrorRate = 50% (50/100)
356-th traing, T = 2.79337522336, ErrorRate = 50% (50/100)
357-th traing, T = 2.76544147112, ErrorRate = 50% (50/100)
358-th traing, T = 2.73778705641, ErrorRate = 50% (50/100)
359-th traing, T = 2.71040918585, ErrorRate = 50% (50/100)
